Team_Name,hired_last_3_months,left_this_year
EN TN TWW,111,36
EN UA HW,70,19
EN EG TP,62,22
EN KE TP,37,4
FR TN TWW,13,11
TSO OC TN TWW,12,6
VGO MP TN TWW,11,1
TSO Account TN TWW,10,1
DE AL TWW,10,4
VGO PS PT TWW,8,1
TSO Account LT TWW,3,4
EN CO TWW,3,16
RO RO TP,1,0
HR GR TP,1,1
FR MA OS,1,8
VGO PS TN TWW,0,5
TSO OC LT TWW,0,8
TSO Catalog TN TWW,0,3
TSO Catalog LT TWW,0,1
SK CZ TP,0,2
SFP TN TWW,0,0
SE LT PLCH,0,0
PT PT TWW,0,1
PL PL TWW,0,6
LT LT TWW,0,2
IT EG TP,0,2
IT AL TWW,0,10
HU RO TP,0,0
GR GR TP,0,1
FR TN OS,0,22
FI EE PLCH,0,0
ES UA HW,0,3
ES CO TWW,0,4
ECC TN TWW,0,1
DK LT PLCH,0,0
DE TN TWW,0,2
CZ CZ TP,0,1
